uid,tweet,lemmatization,pos_tags,sentiment_score,sentiment_label
2598,sahiljoshii now kisan samman yojana hector criteria anymor pension scheme farmer rs per month vaccin,sahiljoshii now kisan samman yojana hector criterion anymor pension scheme farmer r per month vaccin,sahiljoshii/NN now/RB kisan/VBZ samman/JJ yojana/NNS hector/NN criteria/NNS anymor/VBP pension/NN scheme/NN farmer/NN rs/NN per/IN month/NN vaccin/NN,0.0,neutral
12837,rt mis bahu no enlish word double oo except good prove wrong ÿ —,rt mi bahu no enlish word double oo except good prove wrong ÿ —,rt/NN mis/NN bahu/NN no/DT enlish/JJ word/NN double/JJ oo/NN except/IN good/JJ prove/NN wrong/JJ ÿ/NN —/NN,-1.0,negative
26050,modi lehar kisano baras kehar tut haath pao road buri halato aasar aajtak bbcbreak,modi lehar kisano baras kehar tut haath pao road buri halato aasar aajtak bbcbreak,modi/NN lehar/NN kisano/NN baras/NNS kehar/VBP tut/JJ haath/NN pao/NN road/NN buri/NN halato/NN aasar/NN aajtak/NN bbcbreak/NN,-1.0,negative
30898,ravindraj tarekfatah yarr india b life st time india posit dekha appreci u ÿµÿÿ ® ÿ,ravindraj tarekfatah yarr india b life st time india posit dekha appreci u ÿµÿÿ ® ÿ,ravindraj/NN tarekfatah/NN yarr/NN india/NN b/NN life/NN st/JJ time/NN india/JJ posit/NN dekha/NN appreci/NN u/JJ ÿµÿÿ/NNP ®/NNP ÿ/NN,1.0,positive
22656,baijnathmourya mssirsa aapkamanojs arvindkejriwal haan mai free wifi dunga free water sasti bijli doo,baijnathmourya mssirsa aapkamanojs arvindkejriwal haan mai free wifi dunga free water sasti bijli doo,baijnathmourya/NN mssirsa/NN aapkamanojs/NN arvindkejriwal/NN haan/NN mai/VBD free/JJ wifi/NN dunga/NN free/JJ water/NN sasti/NN bijli/NN doo/NN,1.0,positive
2755,log bara chootiya hy jhoot manker vote krdiya bcz govt foult terror bring kg rdx kill,log bara chootiya hy jhoot manker vote krdiya bcz govt foult terror bring kg rdx kill,log/NN bara/NN chootiya/NN hy/NN jhoot/NN manker/NN vote/NN krdiya/VBD bcz/JJ govt/NN foult/NN terror/NN bring/NN kg/NN rdx/NN kill/NN,0.0,neutral
16061,asifnkhan saumen banerj e jhasanjay time circumst ke change bada bewakuf,asifnkhan saumen banerj e jhasanjay time circumst ke change bada bewakuf,asifnkhan/JJ saumen/NNS banerj/VBP e/VB jhasanjay/JJ time/NN circumst/JJ ke/NN change/NN bada/NN bewakuf/NN,0.0,neutral
3364,iawoolford kuchh samajh shukla ji thoda respect dena sikh tumhe south indian languag,iawoolford kuchh samajh shukla ji thoda respect dena sikh tumhe south indian languag,iawoolford/NN kuchh/NN samajh/NN shukla/NN ji/NN thoda/NN respect/NN dena/NN sikh/NN tumhe/NN south/JJ indian/JJ languag/NN,1.0,positive
2926,ahmedrazaqadri wah masha allah ÿÿÿœÿœ bilkul quran epak tilawat achi krty dil bht skon milta h,ahmedrazaqadri wah masha allah ÿÿÿœÿœ bilkul quran epak tilawat achi krty dil bht skon milta h,ahmedrazaqadri/JJ wah/NN masha/NN allah/NN ÿÿÿœÿœ/NNP bilkul/NN quran/NN epak/NN tilawat/NN achi/IN krty/NN dil/NN bht/NN skon/NN milta/NN h/NN,1.0,positive
29391,sicilian mafia bhaai engineers sirf love krte wo love marriage mai convert naaai,sicilian mafia bhaai engineer sirf love krte wo love marriage mai convert naaai,sicilian/JJ mafia/NN bhaai/NN engineers/NNS sirf/VBP love/VB krte/NN wo/MD love/VB marriage/NN mai/NN convert/NN naaai/NN,0.0,neutral
36692,jaavedjaaferi meezaanj congrat best luck meezaanj jaavedjaaferi remind look,jaavedjaaferi meezaanj congrat best luck meezaanj jaavedjaaferi remind look,jaavedjaaferi/NN meezaanj/NN congrat/NN best/JJS luck/NN meezaanj/NN jaavedjaaferi/NN remind/NN look/NN,1.0,positive
24682,imurstarun zinda hoon main tujhme tujhme rahunga zinda todke sab zanjeerein main aazad parinda ÿ ” one of the best song ever ÿ ’ ÿ ” go,imurstarun zinda hoon main tujhme tujhme rahunga zinda todke sab zanjeerein main aazad parinda ÿ ” one of the best song ever ÿ ’ ÿ ” go,imurstarun/JJ zinda/NN hoon/NN main/JJ tujhme/NN tujhme/NN rahunga/NN zinda/NN todke/NN sab/NN zanjeerein/NN main/JJ aazad/NN parinda/NN ÿ/NNP ”/NNP one/CD of/IN the/DT best/JJS song/NN ever/RB ÿ/NNP ’/NNP ÿ/NNP ”/NNP go/VB,1.0,positive
21692,ishqfm you could win free trip two watch india play world cup england you invit priya mayb alisha that,ishqfm you could win free trip two watch india play world cup england you invit priya mayb alisha that,ishqfm/NN you/PRP could/MD win/VB free/JJ trip/NN two/CD watch/NN india/NN play/NN world/NN cup/NN england/VBP you/PRP invit/VBP priya/JJ mayb/NN alisha/NN that/IN,1.0,positive
16349,faryalfkhan seedi golian bersai ma himmat poochay bher bukriyan thin mara lanat puppet govt per,faryalfkhan seedi golian bersai ma himmat poochay bher bukriyan thin mara lanat puppet govt per,faryalfkhan/NN seedi/NN golian/JJ bersai/NN ma/NN himmat/NN poochay/NN bher/NN bukriyan/NN thin/JJ mara/NN lanat/NN puppet/NN govt/NN per/IN,-1.0,negative
22282,pearlta see mahine eye,pearlta see mahine eye,pearlta/NN see/VBP mahine/NN eye/NN,-1.0,negative
9078,zeenew mein chahta hoon resign ye rahega bjpindia aaram elect jeetegi aur ent,zeenew mein chahta hoon resign ye rahega bjpindia aaram elect jeetegi aur ent,zeenew/NN mein/NN chahta/NN hoon/NN resign/NN ye/NN rahega/JJ bjpindia/NN aaram/NN elect/VBP jeetegi/NN aur/NN ent/NN,-1.0,negative
10672,video edit picsart subscript cost much im desper edit dollar per month sighhh,video edit picsart subscript cost much im desper edit dollar per month sighhh,video/NN edit/NN picsart/NN subscript/VBZ cost/RB much/JJ im/NN desper/NN edit/NN dollar/NN per/IN month/NN sighhh/NN,0.0,neutral
44031,pbhushan oxford pichwade daal give fuck india vote chuzze saal,pbhushan oxford pichwade daal give fuck india vote chuzze saal,pbhushan/NN oxford/NN pichwade/VBD daal/JJ give/JJ fuck/NN india/JJ vote/NN chuzze/NN saal/NN,0.0,neutral
36522,hon p m modi sir i wish best luck god bless shankar v rathva ex mla chhotaudepur gujarat,hon p m modi sir i wish best luck god bless shankar v rathva ex mla chhotaudepur gujarat,hon/NN p/NN m/NN modi/NN sir/NN i/JJ wish/JJ best/JJS luck/NN god/NN bless/NN shankar/NN v/NN rathva/NN ex/FW mla/FW chhotaudepur/NN gujarat/NN,1.0,positive
16135,akki dhoni irajeev you stalk bro just shut nikal le faltu logo mention jagah haii,akki dhoni irajeev you stalk bro just shut nikal le faltu logo mention jagah haii,akki/JJ dhoni/NN irajeev/NN you/PRP stalk/VBP bro/VB just/RB shut/VBN nikal/JJ le/NN faltu/NN logo/NN mention/NN jagah/NN haii/NN,0.0,neutral
18612,tum bike godi media show jana rashtra hit achha faisla aise media parmanent,tum bike godi medium show jana rashtra hit achha faisla aise medium parmanent,tum/NN bike/NN godi/NN media/NNS show/VBP jana/JJ rashtra/NN hit/VBD achha/JJ faisla/NN aise/NN media/NNS parmanent/NN,0.0,neutral
5794,cchimbap my parent love haha ÿ ˜ ‚ ÿ ’ almost everyon fam actual,cchimbap my parent love haha ÿ ˜ ‚ ÿ ’ almost everyon fam actual,cchimbap/NN my/PRP$ parent/NN love/NN haha/NN ÿ/NNP ˜/NNP ‚/NNP ÿ/NNP ’/NNP almost/RB everyon/VBD fam/JJ actual/JJ,0.0,neutral
17667,sir arvindkejriwal aap drama kr km,sir arvindkejriwal aap drama kr km,sir/NN arvindkejriwal/NN aap/JJ drama/NN kr/NN km/NN,0.0,neutral
16583,rt thepradeep azkhawaja harjagahdher run bante kashmir,rt thepradeep azkhawaja harjagahdher run bante kashmir,rt/NN thepradeep/NN azkhawaja/NN harjagahdher/NN run/VB bante/NN kashmir/NN,0.0,neutral
25678,rt pratima gitaskapoor ye detail de ghar ladki byahni ÿ ˜ ‚ mansik santulan,rt pratima gitaskapoor ye detail de ghar ladki byahni ÿ ˜ ‚ mansik santulan,rt/NN pratima/NN gitaskapoor/NN ye/NN detail/NN de/IN ghar/FW ladki/FW byahni/FW ÿ/FW ˜/FW ‚/FW mansik/NN santulan/NN,0.0,neutral
10844,rt tarani policerajasthan corrupt complain dhayan kyu dete mene tweet jalor polic ahor fr,rt tarani policerajasthan corrupt complain dhayan kyu dete mene tweet jalor polic ahor fr,rt/NN tarani/NN policerajasthan/NN corrupt/VBP complain/NN dhayan/JJ kyu/NNP dete/NN mene/NN tweet/NN jalor/NN polic/JJ ahor/NN fr/NN,0.0,neutral
3791,arnabgoswamirtv rahulgandhi kyu tarha chutiye paid media sale channel naam,arnabgoswamirtv rahulgandhi kyu tarha chutiye pay medium sale channel naam,arnabgoswamirtv/NN rahulgandhi/NN kyu/NN tarha/NN chutiye/NN paid/VBD media/NNS sale/NN channel/NN naam/NN,1.0,positive
21624,seharkamran mansoor ali expressnewspk smarc ppp pppinfoseci ye nalaiqon tola ya allah pakistan khair,seharkamran mansoor ali expressnewspk smarc ppp pppinfoseci ye nalaiqon tola ya allah pakistan khair,seharkamran/NN mansoor/NN ali/NN expressnewspk/NN smarc/NN ppp/NN pppinfoseci/NN ye/NN nalaiqon/JJ tola/NN ya/NN allah/JJ pakistan/NN khair/NN,0.0,neutral
43144,majorpoonia mahilaye labh uthayengi vote bjp dengi kyon sal kejariwsl ji,majorpoonia mahilaye labh uthayengi vote bjp dengi kyon sal kejariwsl ji,majorpoonia/NN mahilaye/NN labh/NN uthayengi/JJ vote/NN bjp/NN dengi/NN kyon/NN sal/NN kejariwsl/VBZ ji/NN,0.0,neutral
42867,qasimalirazaali ye bolne walo mar daba sakhte dabane koshish,qasimalirazaali ye bolne walo mar daba sakhte dabane koshish,qasimalirazaali/NN ye/NN bolne/NN walo/NN mar/NN daba/NN sakhte/NN dabane/NN koshish/VB,-1.0,negative
40769,set hii audit workshop matron thank iss support super refresh,set hii audit workshop matron thank iss support super refresh,set/VBN hii/NN audit/NN workshop/NN matron/NNP thank/NN iss/JJ support/NN super/NN refresh/NN,1.0,positive
17946,spursoffici cheer lad you lot realli good season hate say tbh never forget good luck next season,spursoffici cheer lad you lot realli good season hate say tbh never forget good luck next season,spursoffici/NNS cheer/NN lad/IN you/PRP lot/VBP realli/VB good/JJ season/NN hate/VBP say/VBP tbh/JJ never/RB forget/VBP good/JJ luck/NN next/IN season/NN,1.0,positive
843,osamathemalang bilalkhanwrit fawadchaudhri hahaha bnda hrksi kafir kehta rehta ha apne ilawa isay musalman nazr niata,osamathemalang bilalkhanwrit fawadchaudhri hahaha bnda hrksi kafir kehta rehta ha apne ilawa isay musalman nazr niata,osamathemalang/NN bilalkhanwrit/NN fawadchaudhri/NN hahaha/NN bnda/NN hrksi/NN kafir/NN kehta/NN rehta/NN ha/NN apne/NN ilawa/NN isay/VBP musalman/NN nazr/NN niata/NN,-1.0,negative
23329,nirahua narendramodi myogiadityanath bjpindia jai jai jai akhelish jai samajwad pir sal jhelna padega,nirahua narendramodi myogiadityanath bjpindia jai jai jai akhelish jai samajwad pir sal jhelna padega,nirahua/RB narendramodi/JJ myogiadityanath/NN bjpindia/NN jai/NN jai/NN jai/NN akhelish/JJ jai/NN samajwad/NN pir/NN sal/NN jhelna/NN padega/NN,-1.0,negative
43516,jcdp moulladad hudood goth faqeerabad chor chori karty gaon walon hath pakry farar police ky hawaly nabi bux pandrani,jcdp moulladad hudood goth faqeerabad chor chori karty gaon walon hath pakry farar police ky hawaly nabi bux pandrani,jcdp/NN moulladad/NN hudood/NN goth/NN faqeerabad/VBP chor/NN chori/NN karty/NN gaon/NN walon/NN hath/NN pakry/NN farar/JJ police/NN ky/VBD hawaly/JJ nabi/JJ bux/NN pandrani/NN,-1.0,negative
13712,unse achchi cigarette dil jalati hoton ÿ ’ ” ÿ ’ ” ÿ ’ ” smoking and love both c,unse achchi cigarette dil jalati hoton ÿ ’ ” ÿ ’ ” ÿ ’ ” smoking and love both c,unse/JJ achchi/NN cigarette/NN dil/NN jalati/NN hoton/NN ÿ/NNP ’/NNP ”/NNP ÿ/NNP ’/NNP ”/NNP ÿ/NNP ’/NNP ”/NNP smoking/NN and/CC love/VB both/DT c/NNS,0.0,neutral
4424,icc all best team india jeet aana ÿ ® ÿÿ ® ÿ,icc all best team india jeet aana ÿ ® ÿÿ ® ÿ,icc/VB all/DT best/JJS team/NN india/NN jeet/NN aana/JJ ÿ/NNP ®/NNP ÿÿ/NNP ®/NNP ÿ/NN,1.0,positive
11422,alinabuttpti maryamnsharif fiyazchohanpti alina butt fayyaz hasaan jsa kutta begarit admi ha ni dunia,alinabuttpti maryamnsharif fiyazchohanpti alina butt fayyaz hasaan jsa kutta begarit admi ha ni dunia,alinabuttpti/NN maryamnsharif/NN fiyazchohanpti/JJ alina/NN butt/NN fayyaz/NN hasaan/NN jsa/NN kutta/NN begarit/NN admi/NN ha/NN ni/NN dunia/NN,0.0,neutral
17588,rt be zeeshan main turpeya ghar dur turpeyasong mind blowing song bhaijan ÿ ” ÿ ” ÿ ” eid bharat bharatthiseid daystobharat h,rt be zeeshan main turpeya ghar dur turpeyasong mind blowing song bhaijan ÿ ” ÿ ” ÿ ” eid bharat bharatthiseid daystobharat h,rt/NN be/VB zeeshan/VBN main/JJ turpeya/NN ghar/NN dur/NN turpeyasong/JJ mind/NN blowing/NN song/NN bhaijan/NN ÿ/NNP ”/NNP ÿ/NNP ”/NNP ÿ/NNP ”/NNP eid/NN bharat/NN bharatthiseid/NN daystobharat/NN h/NN,0.0,neutral
8745,priyankagandhi esa exam govt m saal leak huaa ye sarkar rajniti h ham,priyankagandhi esa exam govt m saal leak huaa ye sarkar rajniti h ham,priyankagandhi/NN esa/NN exam/NN govt/NN m/NN saal/NN leak/NN huaa/NN ye/NN sarkar/NN rajniti/NN h/NN ham/NN,1.0,positive
37006,princ adi listen duniyaa lukachuppi i guess love,princ adi listen duniyaa lukachuppi i guess love,princ/NN adi/NN listen/VBP duniyaa/JJ lukachuppi/NN i/NN guess/NN love/NN,1.0,positive
29291,rt armybrigade shall get stream boy with luv befor wembley concert start leav screen stream ÿ ‘,rt armybrigade shall get stream boy with luv befor wembley concert start leav screen stream ÿ ‘,rt/NN armybrigade/VBD shall/MD get/VB stream/JJ boy/NN with/IN luv/NN befor/NN wembley/NN concert/JJ start/NN leav/NN screen/NN stream/NN ÿ/NNP ‘/NN,0.0,neutral
5905,rt chaosthest secondli maa baap izzat b cheez har cheez support band just woman,rt chaosthest secondli maa baap izzat b cheez har cheez support band just woman,rt/NN chaosthest/JJS secondli/NN maa/NN baap/NN izzat/NN b/NN cheez/NN har/NN cheez/NN support/NN band/NN just/RB woman/NN,-1.0,negative
27921,maleeda sugar freecholestrol freegluten free yug log sonch ÿ ˜ ,maleeda sugar freecholestrol freegluten free yug log sonch ÿ ˜ ,maleeda/NN sugar/NN freecholestrol/NN freegluten/VBP free/JJ yug/NN log/NN sonch/NN ÿ/NNP ˜/NNP /NN,1.0,positive
8762,yogeshwaraya dhanyarajendran i trust dhanya activ come women issu,yogeshwaraya dhanyarajendran i trust dhanya activ come woman issu,yogeshwaraya/NN dhanyarajendran/NN i/NN trust/VBP dhanya/NN activ/NN come/VBP women/NNS issu/VB,1.0,positive
42612,aur godi media v aankhe khuli desh rasatal chala,aur godi medium v aankhe khuli desh rasatal chala,aur/NN godi/NN media/NNS v/VBP aankhe/JJ khuli/NNS desh/JJ rasatal/JJ chala/NN,1.0,positive
34997,narendramodi govern job bare sharkar ku respons vacanc final va pa r,narendramodi govern job bare sharkar ku respons vacanc final va pa r,narendramodi/JJ govern/JJ job/NN bare/NN sharkar/JJ ku/NN respons/NNS vacanc/VBP final/JJ va/NN pa/NN r/NN,0.0,neutral
10988,shame shame tu kese jinda twitter tujhe sharam aate tere modi dalali kiya t,shame shame tu kese jinda twitter tujhe sharam aate tere modi dalali kiya t,shame/NN shame/NN tu/IN kese/JJ jinda/NN twitter/NN tujhe/NN sharam/NN aate/NN tere/EX modi/JJ dalali/NN kiya/NN t/NN,0.0,neutral
14844,abay ab b tum zinda sharam haya tuo khud kamata jo tukhe atay bhao m,abay ab b tum zinda sharam haya tuo khud kamata jo tukhe atay bhao m,abay/NN ab/NN b/NN tum/NN zinda/NN sharam/NN haya/NN tuo/NN khud/NN kamata/NN jo/NN tukhe/NN atay/NN bhao/IN m/NN,-1.0,negative
3014,yadavdimples priyankagandhi janta priyanka vadra gandhi jam chuski dhol ba,yadavdimples priyankagandhi janta priyanka vadra gandhi jam chuski dhol ba,yadavdimples/NNS priyankagandhi/VBP janta/JJ priyanka/NN vadra/NN gandhi/NN jam/NN chuski/NN dhol/NN ba/NN,1.0,positive
20448,chalo chahe din bhar opinion someon els start opinion without bother yo,chalo chahe din bhar opinion someon el start opinion without bother yo,chalo/NN chahe/NN din/NN bhar/JJ opinion/NN someon/NN els/NNS start/VBP opinion/NN without/IN bother/JJR yo/NN,1.0,positive
23905,ab btaao isko samprdaayik roop ldke muslmaan kapilmishra ind sardanarohit,ab btaao isko samprdaayik roop ldke muslmaan kapilmishra ind sardanarohit,ab/NN btaao/NN isko/NN samprdaayik/NN roop/NN ldke/NN muslmaan/NN kapilmishra/NN ind/NN sardanarohit/NN,-1.0,negative
37296,payal rohatgi youtub tweet peopl irrelev point ghaas dalta,payal rohatgi youtub tweet peopl irrelev point ghaas dalta,payal/NN rohatgi/NN youtub/NNP tweet/NN peopl/NN irrelev/NN point/NN ghaas/NN dalta/NN,0.0,neutral
42856,rammi no ÿ ˜ omg i cant rememb place i need,rammi no ÿ ˜ omg i cant rememb place i need,rammi/NN no/DT ÿ/NNP ˜/NNP omg/NN i/NN cant/VBP rememb/JJ place/NN i/NNS need/VBP,1.0,positive
29080,kunalkamra officialarnab kaun baat sehmat bjp urf rss congress galatiyo phal,kunalkamra officialarnab kaun baat sehmat bjp urf r congress galatiyo phal,kunalkamra/NN officialarnab/MD kaun/VB baat/JJ sehmat/NN bjp/NN urf/NN rss/NN congress/NN galatiyo/NN phal/NN,-1.0,negative
10822,narendramodi dear our pm sree narendra modi ji sir ham apke big fan sir yadavo laaz aap bachha,narendramodi dear our pm sree narendra modi ji sir ham apke big fan sir yadavo laaz aap bachha,narendramodi/RB dear/JJ our/PRP$ pm/JJ sree/JJ narendra/NN modi/NN ji/NN sir/NN ham/NN apke/NN big/JJ fan/NN sir/NN yadavo/NN laaz/NN aap/NN bachha/NN,1.0,positive
27237,rt durexindia bade bade deshon chhoti chhoti baatein rehti celebr freedom love durex loveislove htt,rt durexindia bade bid deshon chhoti chhoti baatein rehti celebr freedom love durex loveislove htt,rt/JJ durexindia/NN bade/NN bade/VBD deshon/JJ chhoti/NN chhoti/NN baatein/NN rehti/NN celebr/NN freedom/NN love/VB durex/NN loveislove/IN htt/NN,1.0,positive
31449,sardanarohit aajtak good prachar shuru tv maadhyam ye apki niji raay h,sardanarohit aajtak good prachar shuru tv maadhyam ye apki niji raay h,sardanarohit/JJ aajtak/RB good/JJ prachar/NN shuru/JJ tv/NN maadhyam/NN ye/NN apki/NN niji/JJ raay/NN h/NN,1.0,positive
10734,rt mw rao desi mom kam krny ajeeb science aur agr foran dozakh dhamki ÿÿ ˜ ÿ,rt mw rao desi mom kam krny ajeeb science aur agr foran dozakh dhamki ÿÿ ˜ ÿ,rt/NN mw/NN rao/NN desi/NN mom/NN kam/NN krny/NN ajeeb/NN science/NN aur/NN agr/NN foran/VBD dozakh/JJ dhamki/NN ÿÿ/NNP ˜/NNP ÿ/NN,1.0,positive
5739,rt pk how chamche kya haal chamcho bada chilla lahul gandhi bn gaya pm ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜,rt pk how chamche kya haal chamcho bada chilla lahul gandhi bn gaya pm ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜ ÿ ˜,rt/NN pk/VB how/WRB chamche/NN kya/VB haal/JJ chamcho/NN bada/NN chilla/NN lahul/NN gandhi/NN bn/NN gaya/NN pm/NN ÿ/NNP ˜/NNP ÿ/NNP ˜/NNP ÿ/NNP ˜/NNP ÿ/NNP ˜/NNP ÿ/NNP ˜/NNP ÿ/NNP ˜/NNP ÿ/NNP ˜/NNP ÿ/NNP ˜/NNP ÿ/NNP ˜/NN,-1.0,negative
41105,rt chirayu educ system chutiye h ghanta achi job milegi bc faltu subjects alag languag padhayi,rt chirayu educ system chutiye h ghanta achi job milegi bc faltu subject alag languag padhayi,rt/NN chirayu/NN educ/NN system/NN chutiye/JJ h/NN ghanta/NN achi/JJ job/NN milegi/NNS bc/VBP faltu/JJ subjects/NNS alag/VBP languag/JJ padhayi/NN,0.0,neutral
13394,stayawayfromhypocrisi gurmeetramrahim good morn guru g bless nd give us power sewa simran parmarth dh,stayawayfromhypocrisi gurmeetramrahim good morn guru g bless nd give u power sewa simran parmarth dh,stayawayfromhypocrisi/NN gurmeetramrahim/NN good/JJ morn/NN guru/NN g/NN bless/NN nd/RB give/VB us/PRP power/NN sewa/NN simran/VBD parmarth/NN dh/NN,1.0,positive
30013,µ hit ¯ fit bhojpuri song super hit shishir panti thakur,µ hit ¯ fit bhojpuri song super hit shishir panti thakur,µ/NN hit/VBD ¯/JJ fit/JJ bhojpuri/NN song/NN super/NN hit/VBD shishir/JJ panti/NN thakur/NN,0.0,neutral
11032,bhai h mgr pas h bjp achut bna h nfrat bhir dilon khuda,bhai h mgr pa h bjp achut bna h nfrat bhir dilon khuda,bhai/NN h/NN mgr/NN pas/NN h/NN bjp/NN achut/NN bna/NN h/NN nfrat/JJ bhir/NN dilon/NN khuda/NN,-1.0,negative
19785,wish mani mani happi return day sirpareshrawal i pray god good health fortun,wish mani mani happi return day sirpareshrawal i pray god good health fortun,wish/JJ mani/NN mani/NN happi/JJ return/NN day/NN sirpareshrawal/VBD i/JJ pray/NN god/VBD good/JJ health/NN fortun/NN,1.0,positive
21293,kaycinpoint guy groov realli fun choreo haha doesnt matter jake erica realli choos good song,kaycinpoint guy groov realli fun choreo haha doesnt matter jake erica realli choos good song,kaycinpoint/NN guy/NN groov/NN realli/NN fun/NN choreo/NN haha/NN doesnt/NN matter/NN jake/NN erica/NN realli/NN choos/NN good/NN song/NN,0.0,neutral
21155,mahisub gud mrng actually aapka msg box show nahi otherwis aapko msg aap msg,mahisub gud mrng actually aapka msg box show nahi otherwis aapko msg aap msg,mahisub/NN gud/NN mrng/NN actually/RB aapka/JJ msg/NN box/NN show/NN nahi/JJ otherwis/JJ aapko/NN msg/NN aap/NN msg/NN,1.0,positive
